player_id,name,last_season,current_club_id,country_of_birth,age,sub_position,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name
51715,Toni Moral,2013,21957,Spain,41,Left Winger,Attack,left,177.0,GR1,AO Platanias
51892,Andrey Gorbanets,2016,3729,UdSSR,37,Attacking Midfield,Midfield,right,178.0,RU1,Arsenal Tula
51951,Petros Kanakoudis,2014,5219,Greece,39,Left-Back,Defender,left,180.0,GR1,AOK Kerkyra
52082,Deniz Vural,2016,11282,Germany,34,Central Midfield,Midfield,right,185.0,TR1,Alanyaspor
52192,Kallum Higginbotham,2015,2553,England,33,Right Winger,Attack,right,180.0,SC1,Kilmarnock FC
52212,Doka Madureira,2016,6890,Brazil,39,Left Winger,Attack,right,178.0,TR1,Basaksehir FK
52269,Jakob Jantscher,2016,126,Austria,34,Centre-Forward,Attack,both,181.0,TR1,Caykur Rizespor
52428,Joaquín Larrivey,2014,940,Argentina,38,Centre-Forward,Attack,right,186.0,ES1,Celta de Vigo
52960,Leandro Almeida,2012,338,Brazil,36,Centre-Back,Defender,right,188.0,UKR1,Dynamo Kyiv
53301,Marc Valiente,2017,1245,Spain,36,Centre-Back,Defender,right,184.0,BE1,KAS Eupen
53302,David Amoo,2016,2760,England,32,Right Winger,Attack,right,178.0,SC1,Partick Thistle FC
53306,Guy Ndy Assembé,2016,1159,Cameroon,37,Goalkeeper,Goalkeeper,right,185.0,FR1,AS Nancy-Lorraine
53332,Juan Forlín,2012,714,Argentina,35,Centre-Back,Defender,right,180.0,ES1,RCD Espanyol Barcelona
53533,Carlos Zambrano,2019,338,Peru,33,Centre-Back,Defender,right,185.0,UKR1,Dynamo Kyiv
54214,Leandrinho,2017,1506,Brazil,36,Centre-Forward,Attack,right,178.0,TR1,Kardemir Karabükspor
54794,Facundo Parra,2014,6676,Argentina,37,Centre-Forward,Attack,right,188.0,GR1,Asteras Tripolis
55099,Nicolas Höfler,2022,60,Germany,33,Defensive Midfield,Midfield,right,181.0,L1,SC Freiburg
55295,Azat Bairyev,2020,3609,UdSSR,34,Centre-Back,Defender,left,191.0,RU1,Rotor Volgograd
55345,Dmitriy Grachev,2012,2703,UdSSR,39,Centre-Back,Defender,right,188.0,RU1,Spartak Vladikavkaz (-2020)
55501,Baris Basdas,2021,19789,Germany,33,Centre-Back,Defender,right,190.0,TR1,Yeni Malatyaspor
55801,Marco Sau,2020,4171,Italy,35,Centre-Forward,Attack,right,169.0,IT1,Benevento Calcio
55837,Pedro Correia,2015,2420,Portugal,36,Right-Back,Defender,right,180.0,PO1,Vitória Guimarães SC
55839,Giray Kacar,2014,126,Turkey,38,Centre-Back,Defender,right,189.0,TR1,Caykur Rizespor
55895,Leonel Vangioni,2016,5,Argentina,36,Left-Back,Defender,left,181.0,IT1,AC Milan
55980,Didier Ovono,2016,2861,Gabon,40,Goalkeeper,Goalkeeper,right,187.0,BE1,KV Oostende
56095,Luciano Amaral,2012,2424,Brazil,40,Left-Back,Defender,left,181.0,PO1,Gil Vicente FC
56183,Bruno Moreira,2020,7378,Portugal,35,Centre-Forward,Attack,right,185.0,PO1,Portimonense SC
56294,Jérémy Grimm,2019,667,France,36,Defensive Midfield,Midfield,right,181.0,FR1,RC Strasbourg Alsace
56631,Erwin Mulder,2022,1435,Netherlands,34,Goalkeeper,Goalkeeper,right,193.0,NL1,Go Ahead Eagles
56777,Luísinho,2020,5358,Portugal,38,Left-Back,Defender,left,171.0,ES1,SD Huesca
56827,Anthony Weber,2015,1421,France,35,Centre-Back,Defender,right,190.0,FR1,Stade Reims
56976,Bibras Natcho,2018,683,Israel,35,Attacking Midfield,Midfield,right,177.0,GR1,Olympiacos Piraeus
57013,Matias Iglesias,2022,6676,Argentina,38,Defensive Midfield,Midfield,both,190.0,GR1,Asteras Tripolis
57016,Giannis Kontoes,2018,441,Greece,37,Centre-Back,Defender,right,181.0,GR1,Apollon Smyrnis
57091,Hanno Behrens,2018,4,Germany,33,Central Midfield,Midfield,right,188.0,L1,1.FC Nuremberg
57216,Ismaël Traoré,2021,1420,France,36,Centre-Back,Defender,right,184.0,FR1,Angers SCO
57305,Marco Piscopo,2012,410,Italy,29,Central Midfield,Midfield,right,179.0,IT1,Udinese Calcio
57376,Antoine Devaux,2015,1421,France,38,Central Midfield,Midfield,right,185.0,FR1,Stade Reims
57466,Thiago Xavier,2015,1095,Brazil,39,Defensive Midfield,Midfield,right,180.0,FR1,ESTAC Troyes
57618,Andrey Klimovich,2019,14589,UdSSR,34,Goalkeeper,Goalkeeper,right,191.0,RU1,FK Orenburg
57785,Roberto Canella,2016,2448,Spain,35,Left-Back,Defender,left,179.0,ES1,Sporting Gijón
57970,Maksym Iv. Bilyi,2012,10690,UdSSR,34,Attacking Midfield,Midfield,both,175.0,UKR1,Zorya Lugansk
58020,Samson Godwin,2013,2477,Nigeria,39,Defensive Midfield,Midfield,right,178.0,UKR1,Karpaty Lviv (-2021)
58074,Carlos Martínez,2017,681,Spain,37,Right-Back,Defender,right,189.0,ES1,Real Sociedad
58093,Andriy Novak,2017,6992,Poland,34,Goalkeeper,Goalkeeper,left,192.0,UKR1,Chornomorets Odessa
58181,Nélson Lenho,2018,3336,Portugal,39,Left-Back,Defender,left,178.0,PO1,Desportivo Aves (- 2020)
58602,Mustafa Pektemek,2021,3205,Turkey,34,Centre-Forward,Attack,right,182.0,TR1,Kayserispor
58789,Lolo,2013,331,Spain,38,Defensive Midfield,Midfield,right,182.0,ES1,CA Osasuna
58816,Koray Arslan,2015,524,Turkey,39,Right-Back,Defender,right,178.0,TR1,Gaziantepspor (- 2020)
58944,Miguel Rosa,2017,68608,Portugal,34,Central Midfield,Midfield,right,174.0,PO1,CF Os Belenenses
58972,Denys Shelikhov,2021,55686,UdSSR,33,Goalkeeper,Goalkeeper,right,188.0,UKR1,Metalist 1925 Kharkiv
59022,Yevgen Galchuk,2021,49364,Ukraine,31,Goalkeeper,Goalkeeper,right,184.0,UKR1,Ingulets Petrove
59038,Vitaliy Gavrysh,2021,48332,UdSSR,37,Centre-Back,Defender,right,182.0,UKR1,Kolos Kovalivka
59082,Heinz Lindner,2016,24,Austria,32,Goalkeeper,Goalkeeper,right,188.0,L1,Eintracht Frankfurt
59084,Fernando Varela,2022,3268,Portugal,35,Centre-Back,Defender,right,185.0,PO1,Casa Pia AC
59290,Anton Savin,2021,55686,UdSSR,33,Right Winger,Attack,right,177.0,UKR1,Metalist 1925 Kharkiv
59377,David de Gea,2022,985,Spain,32,Goalkeeper,Goalkeeper,right,189.0,GB1,Manchester United
59596,Lucas Pratto,2020,234,Argentina,35,Second Striker,Attack,right,186.0,NL1,Feyenoord Rotterdam
59896,Dmytro Khomchenovskyi,2022,3592,UdSSR,33,Left Midfield,Midfield,both,182.0,UKR1,Kryvbas Kryvyi Rig
59978,Yevgen Zadoya,2022,6992,UdSSR,32,Defensive Midfield,Midfield,right,179.0,UKR1,Chornomorets Odessa
